numprocs,N,time,T1,speedup,efficiency
1,10,0.0024799000238999724,0.0024799000238999724,1.0,1.0
2,10,0.007465700036846101,0.0024799000238999724,0.3321724703190206,0.1660862351595103
4,10,0.0036025000736117363,0.0024799000238999724,0.6883830598825539,0.17209576497063847
8,10,0.010382100008428097,0.0024799000238999724,0.23886304523042656,0.02985788065380332
1,100,0.002984600025229156,0.002984600025229156,1.0,1.0
2,100,0.003797799930907786,0.002984600025229156,0.7858760544333753,0.39293802721668764
4,100,0.005016900016926229,0.002984600025229156,0.594909209902447,0.14872730247561175
8,100,0.006045399932190776,0.002984600025229156,0.4936976972088553,0.061712212151106914
1,1000,0.007361299940384924,0.007361299940384924,1.0,1.0
2,1000,0.007249900023452938,0.007361299940384924,1.0153657176749493,0.5076828588374747
4,1000,0.005853899987414479,0.007361299940384924,1.2575035371651824,0.3143758842912956
8,1000,0.007285700063221157,0.007361299940384924,1.0103764739843468,0.12629705924804335
1,10000,0.05026160005945712,0.05026160005945712,1.0,1.0
2,10000,0.04357059998437762,0.05026160005945712,1.1535668564921893,0.5767834282460946
4,10000,0.02882010000757873,0.05026160005945712,1.7439772952293708,0.4359943238073427
8,10000,0.02261079999152571,0.05026160005945712,2.222902333322777,0.2778627916653471
1,100000,0.4558046000311151,0.4558046000311151,1.0,1.0
2,100000,0.37647769995965064,0.4558046000311151,1.2107080979297484,0.6053540489648742
4,100000,0.21551310003269464,0.4558046000311151,2.114973985163625,0.5287434962909062
8,100000,0.17499800003133714,0.4558046000311151,2.604627481168319,0.3255784351460399
1,1000000,4.632463800022379,4.632463800022379,1.0,1.0
2,1000000,3.7140806999523193,4.632463800022379,1.2472706368716893,0.6236353184358446
4,1000000,2.050941599998623,4.632463800022379,2.258700979113929,0.5646752447784823
8,1000000,1.3909683000529185,4.632463800022379,3.3303877592653546,0.4162984699081693
